         table_name          |       column_name       |          data_type          | is_nullable |                   column_default                   | character_maximum_length | numeric_precision | numeric_scale 
-----------------------------+-------------------------+-----------------------------+-------------+----------------------------------------------------+--------------------------+-------------------+---------------
 access_logs                 | no                      | bigint                      | NO          | nextval('access_logs_no_seq'::regclass)            |                          |                64 |             0
 access_logs                 | path                    | character varying           | YES         |                                                    |                     1024 |                   |              
 access_logs                 | ip_address              | character varying           | YES         |                                                    |                       64 |                   |              
 access_logs                 | user_agent              | character varying           | YES         |                                                    |                     1024 |                   |              
 access_logs                 | row_id                  | character varying           | YES         |                                                    |                       64 |                   |              
 access_logs                 | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 access_logs                 | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 access_logs                 | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 access_logs                 | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 access_logs                 | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 account_images              | image_id                | bigint                      | NO          | nextval('account_images_image_id_seq'::regclass)   |                          |                64 |             0
 account_images              | user_id                 | integer                     | YES         |                                                    |                          |                32 |             0
 account_images              | file_name               | character varying           | YES         |                                                    |                      256 |                   |              
 account_images              | file_size               | double precision            | YES         |                                                    |                          |                53 |              
 account_images              | file_binary             | bytea                       | YES         |                                                    |                          |                   |              
 account_images              | extension               | character varying           | YES         |                                                    |                      256 |                   |              
 account_images              | content_type            | character varying           | YES         |                                                    |                      256 |                   |              
 account_images              | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 account_images              | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 account_images              | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 account_images              | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 account_images              | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 activities                  | activity_no             | bigint                      | NO          | nextval('activities_activity_no_seq'::regclass)    |                          |                64 |             0
 activities                  | user_id                 | integer                     | NO          |                                                    |                          |                32 |             0
 activities                  | kind                    | integer                     | NO          |                                                    |                          |                32 |             0
 activities                  | target                  | character varying           | NO          |                                                    |                       64 |                   |              
 activities                  | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 activities                  | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 activities                  | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 activities                  | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 activities                  | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 badges                      | no                      | integer                     | NO          | nextval('badges_no_seq'::regclass)                 |                          |                32 |             0
 badges                      | name                    | character varying           | NO          |                                                    |                      128 |                   |              
 badges                      | display_text            | character varying           | NO          |                                                    |                       32 |                   |              
 badges                      | description             | text                        | YES         |                                                    |                          |                   |              
 badges                      | image                   | character varying           | YES         |                                                    |                       64 |                   |              
 badges                      | point                   | integer                     | YES         |                                                    |                          |                32 |             0
 badges                      | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 badges                      | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 badges                      | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 badges                      | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 badges                      | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 comments                    | comment_no              | bigint                      | NO          | nextval('comments_comment_no_seq'::regclass)       |                          |                64 |             0
 comments                    | knowledge_id            | bigint                      | NO          |                                                    |                          |                64 |             0
 comments                    | comment                 | text                        | YES         |                                                    |                          |                   |              
 comments                    | comment_status          | integer                     | YES         |                                                    |                          |                32 |             0
 comments                    | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 comments                    | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 comments                    | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 comments                    | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 comments                    | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 confirm_mail_changes        | id                      | character varying           | NO          |                                                    |                      256 |                   |              
 confirm_mail_changes        | user_id                 | integer                     | NO          |                                                    |                          |                32 |             0
 confirm_mail_changes        | mail_address            | character varying           | NO          |                                                    |                      256 |                   |              
 confirm_mail_changes        | row_id                  | character varying           | YES         |                                                    |                       64 |                   |              
 confirm_mail_changes        | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 confirm_mail_changes        | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 confirm_mail_changes        | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 confirm_mail_changes        | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 confirm_mail_changes        | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 draft_item_values           | draft_id                | bigint                      | NO          |                                                    |                          |                64 |             0
 draft_item_values           | type_id                 | integer                     | NO          |                                                    |                          |                32 |             0
 draft_item_values           | item_no                 | integer                     | NO          |                                                    |                          |                32 |             0
 draft_item_values           | item_value              | text                        | YES         |                                                    |                          |                   |              
 draft_item_values           | item_status             | integer                     | NO          |                                                    |                          |                32 |             0
 draft_item_values           | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 draft_item_values           | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 draft_item_values           | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 draft_item_values           | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 draft_item_values           | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 draft_knowledges            | draft_id                | bigint                      | NO          | nextval('draft_knowledges_draft_id_seq'::regclass) |                          |                64 |             0
 draft_knowledges            | knowledge_id            | bigint                      | YES         |                                                    |                          |                64 |             0
 draft_knowledges            | title                   | character varying           | NO          |                                                    |                     1024 |                   |              
 draft_knowledges            | content                 | text                        | YES         |                                                    |                          |                   |              
 draft_knowledges            | public_flag             | integer                     | YES         |                                                    |                          |                32 |             0
 draft_knowledges            | accesses                | text                        | YES         |                                                    |                          |                   |              
 draft_knowledges            | editors                 | text                        | YES         |                                                    |                          |                   |              
 draft_knowledges            | tag_names               | text                        | YES         |                                                    |                          |                   |              
 draft_knowledges            | type_id                 | integer                     | YES         |                                                    |                          |                32 |             0
 draft_knowledges            | insert_user             | integer                     | YES         |                                                    |                          |                32 |             0
 draft_knowledges            | insert_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 draft_knowledges            | update_user             | integer                     | YES         |                                                    |                          |                32 |             0
 draft_knowledges            | update_datetime         | timestamp without time zone | YES         |                                                    |                          |                   |              
 draft_knowledges            | delete_flag             | integer                     | YES         |                                                    |                          |                32 |             0
