                      リレーションの一覧
 スキーマ |            名前             |    型    |  所有者  
----------+-----------------------------+----------+----------
 public   | access_logs                 | テーブル | rcsadmin
 public   | account_images              | テーブル | rcsadmin
 public   | activities                  | テーブル | rcsadmin
 public   | badges                      | テーブル | rcsadmin
 public   | comments                    | テーブル | rcsadmin
 public   | confirm_mail_changes        | テーブル | rcsadmin
 public   | draft_item_values           | テーブル | rcsadmin
 public   | draft_knowledges            | テーブル | rcsadmin
 public   | events                      | テーブル | rcsadmin
 public   | functions                   | テーブル | rcsadmin
 public   | groups                      | テーブル | rcsadmin
 public   | hash_configs                | テーブル | rcsadmin
 public   | item_choices                | テーブル | rcsadmin
 public   | knowledge_edit_groups       | テーブル | rcsadmin
 public   | knowledge_edit_users        | テーブル | rcsadmin
 public   | knowledge_files             | テーブル | rcsadmin
 public   | knowledge_groups            | テーブル | rcsadmin
 public   | knowledge_histories         | テーブル | rcsadmin
 public   | knowledge_item_values       | テーブル | rcsadmin
 public   | knowledge_tags              | テーブル | rcsadmin
 public   | knowledge_users             | テーブル | rcsadmin
 public   | knowledges                  | テーブル | rcsadmin
 public   | ldap_configs                | テーブル | rcsadmin
 public   | like_comments               | テーブル | rcsadmin
 public   | likes                       | テーブル | rcsadmin
 public   | locales                     | テーブル | rcsadmin
 public   | login_histories             | テーブル | rcsadmin
 public   | mail_configs                | テーブル | rcsadmin
 public   | mail_hook_conditions        | テーブル | rcsadmin
 public   | mail_hook_ignore_conditions | テーブル | rcsadmin
 public   | mail_hooks                  | テーブル | rcsadmin
 public   | mail_locale_templates       | テーブル | rcsadmin
 public   | mail_posts                  | テーブル | rcsadmin
 public   | mail_properties             | テーブル | rcsadmin
 public   | mail_templates              | テーブル | rcsadmin
 public   | mails                       | テーブル | rcsadmin
 public   | notices                     | テーブル | rcsadmin
 public   | notification_status         | テーブル | rcsadmin
 public   | notifications               | テーブル | rcsadmin
 public   | notify_configs              | テーブル | rcsadmin
 public   | notify_queues               | テーブル | rcsadmin
 public   | participants                | テーブル | rcsadmin
 public   | password_resets             | テーブル | rcsadmin
 public   | pins                        | テーブル | rcsadmin
 public   | point_knowledge_histories   | テーブル | rcsadmin
 public   | point_user_histories        | テーブル | rcsadmin
 public   | provisional_registrations   | テーブル | rcsadmin
 public   | proxy_configs               | テーブル | rcsadmin
 public   | read_marks                  | テーブル | rcsadmin
 public   | role_functions              | テーブル | rcsadmin
 public   | roles                       | テーブル | rcsadmin
 public   | service_configs             | テーブル | rcsadmin
 public   | service_locale_configs      | テーブル | rcsadmin
 public   | stock_knowledges            | テーブル | rcsadmin
 public   | stocks                      | テーブル | rcsadmin
 public   | survey_answers              | テーブル | rcsadmin
 public   | survey_choices              | テーブル | rcsadmin
 public   | survey_item_answers         | テーブル | rcsadmin
 public   | survey_items                | テーブル | rcsadmin
 public   | surveys                     | テーブル | rcsadmin
 public   | system_attributes           | テーブル | rcsadmin
 public   | system_configs              | テーブル | rcsadmin
 public   | systems                     | テーブル | rcsadmin
 public   | tags                        | テーブル | rcsadmin
 public   | template_items              | テーブル | rcsadmin
 public   | template_masters            | テーブル | rcsadmin
 public   | tokens                      | テーブル | rcsadmin
 public   | user_alias                  | テーブル | rcsadmin
 public   | user_badges                 | テーブル | rcsadmin
 public   | user_configs                | テーブル | rcsadmin
 public   | user_groups                 | テーブル | rcsadmin
 public   | user_notifications          | テーブル | rcsadmin
 public   | user_roles                  | テーブル | rcsadmin
 public   | users                       | テーブル | rcsadmin
 public   | view_histories              | テーブル | rcsadmin
 public   | votes                       | テーブル | rcsadmin
 public   | webhook_configs             | テーブル | rcsadmin
 public   | webhooks                    | テーブル | rcsadmin
(78 行)

